level,porosity,ice_fraction,ice_area_km2,depth_m,ice_volume_m3,water_mass_kg,water_mass_Mt,eps_birchak,eps_maxwell_garnett
low,0.4,0.4,0.47,5.0,940000.0,861980000.0,0.86198,2.875839990856098,2.8741935483870966
central,0.5,0.5,0.47,5.0,1175000.0,1077475000.0,1.077475,2.920666657141769,2.9189189189189184
high,0.6,0.6,0.47,5.0,1410000.0,1292970000.0,1.29297,2.9658399908560984,2.9641304347826085
